代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
06656,6656.HK,Industrials,318.8,452.7,24.547625,52.35,669.0,1142.49,nan,,,,77.05,20.65,-199990000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06936,6936.HK,Industrials,32.42,148.81,13.211084,31.23,47.14,4.84,21.66,,,,11.19,21.2,27555275000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
07618,7618.HK,Consumer Cyclical,13.67,370.87,14.480932,20.38,17.17,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09973,9973.HK,Consumer Cyclical,25.24,594.4,6.797525,27.84,34.98,48.01,44.79,,,,37.47,7.73,20130000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02899,2899.HK,Basic Materials,34.46,2063.81,13.090781,26.65,46.98,8.9,37.21,,,,27.91,32.13,75429516296.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06862,6862.HK,Consumer Cyclical,11.59,646.03,13.320747,35.11,17.86,11.67,43.36,,,,40.44,26.87,5664189000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06886,6886.HK,Financial Services,16.92,290.86,7.79859,22.88,21.94,1.74,14.02,,,,7.92,28.16,-12601571386.35,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02588,2588.HK,Industrials,74.5,517.03,8.402025,18.98,91.95,4.01,239.83,,,,11.51,65.17,2938049000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02600,2600.HK,Basic Materials,8.235,324.79,8.279069,47.04,15.55,-6.07,44.6,,,,16.92,28.01,34092341000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02611,2611.HK,Financial Services,14.42,505.57,10.086148,22.31,18.56,21.35,34.19,,,,8.42,24.11,81138252377.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02618,2618.HK,Industrials,14.17,938.62,11.710744,15.45,16.76,16.48,nan,,,,12.16,18.02,18765124000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02688,2688.HK,Utilities,47.08,532.95,7.621103,36.21,73.8,0.56,0.21,,,,12.35,18.62,10433000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02689,2689.HK,Basic Materials,7.995,375.14,9.879184,19.81,9.97,-3.99,-52.13,,,,1.56,49.88,-794199000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
86618,86618.HK,,33.98,1091.1,20.22619,46.7,63.75,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89618,89618.HK,,105.9,2643.81,23.22481,19.47,131.5,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89988,89988.HK,,104.6,20057.05,18.956144,38.65,170.5,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02883,2883.HK,Energy,6.91,125.15,7.43841,41.14,11.74,12.14,17.66,,,,8.25,20.0,11289935638.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09636,9636.HK,Consumer Defensive,29.0,134.27,12.219227,65.5,84.05,22.85,26.02,,,,31.04,0.08,824247000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00010,0010.HK,Real Estate,12.78,174.01,12.216805,27.14,17.54,-1.63,-20.42,,,,1.39,23.33,6062000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01378,1378.HK,Basic Materials,22.7,2228.91,8.183877,45.12,41.36,7.22,37.53,,,,17.07,29.56,38995459000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01415,1415.HK,Technology,22.42,195.05,12.928529,47.93,43.06,46.37,32.68,,,,27.12,10.85,316306000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01428,1428.HK,Financial Services,7.0,118.79,17.721519,58.53,16.88,4.57,2.6,,,,30.86,51.4,-540421000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00856,0856.HK,Technology,10.68,152.72,10.9359,16.04,12.72,8.08,18.03,,,,13.35,21.48,1954632000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00857,0857.HK,Energy,9.4,1983.3,9.345923,23.08,12.22,-4.01,1.88,,,,9.92,12.51,412510000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00868,0868.HK,Basic Materials,8.785,388.91,11.500519,28.87,12.35,-2.87,-15.53,,,,7.41,10.09,5321500000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01128,1128.HK,Consumer Cyclical,5.77,303.79,18.612903,22.03,7.4,72.54,nan,,,,-12.07,110.76,7369391000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01133,1133.HK,Industrials,17.36,117.28,12.517366,39.89,28.88,22.86,200.1,,,,14.98,7.98,2284202514.81,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01138,1138.HK,Energy,13.69,177.42,12.008772,38.88,22.4,8.48,40.33,,,,8.7,38.48,7389147000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01258,1258.HK,Basic Materials,14.18,553.3,17.440517,25.56,19.05,-5.82,14.94,,,,16.26,1.88,938657000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01286,1286.HK,Industrials,8.335,162.28,19.689271,29.36,11.8,5.38,7.66,,,,12.96,25.89,1258721000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00659,0659.HK,Industrials,7.79,355.69,14.99083,18.6,9.57,-7.89,8.24,,,,5.87,19.75,2448700000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00688,0688.HK,Real Estate,13.48,1475.37,9.992515,19.28,16.7,-2.31,-18.29,,,,3.27,27.05,16733455000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09992,9992.HK,Consumer Cyclical,154.2,2053.94,13.835497,54.62,339.8,42.66,54.09,,,,29.26,6.49,4954220000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
80016,80016.HK,,101.0,2926.76,14.727326,21.58,128.8,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
80291,80291.HK,,19.22,623.5,18.498556,27.96,26.68,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
80700,80700.HK,,379.2,34442.74,14.624552,39.38,625.5,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
80883,80883.HK,,20.48,9121.79,7.807854,24.87,27.26,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
80941,80941.HK,,70.0,14548.8,11.162494,15.66,83.0,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
81024,81024.HK,,35.1,1518.78,8.679525,58.61,84.8,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
81299,81299.HK,,62.1,6425.49,14.663518,23.94,81.65,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
81810,81810.HK,,22.26,5733.95,16.22449,59.45,54.9,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
82020,82020.HK,,62.1,1736.94,12.780407,35.14,95.75,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
82318,82318.HK,,47.66,3549.52,6.499386,27.84,66.05,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
82331,82331.HK,,12.53,323.9,11.02993,38.82,20.48,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
82333,82333.HK,,7.185,165.76,6.784703,59.25,17.63,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03888,3888.HK,Communication Services,26.54,364.66,11.249224,30.52,38.2,8.23,nan,,,,7.7,0.09,2291620000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03898,3898.HK,Industrials,35.16,162.44,10.015489,25.0,46.88,17.1,17.03,,,,9.64,12.81,3361120915.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03899,3899.HK,Energy,7.635,161.17,11.824622,44.99,13.88,10.33,2.47,,,,9.35,11.71,1742844000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03931,3931.HK,Industrials,19.04,144.89,18.342967,51.55,39.3,29.65,28.74,,,,4.02,39.25,10160086000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03933,3933.HK,Healthcare,8.95,176.31,6.575262,50.22,17.98,5.24,9.68,,,,11.99,16.15,3749820000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03993,3993.HK,Basic Materials,17.33,681.67,13.147553,31.34,25.24,6.13,49.66,,,,24.67,16.1,32386655541.72,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00914,0914.HK,Basic Materials,17.45,225.1,10.146325,35.7,27.14,-14.49,-19.69,,,,4.22,10.42,16643907685.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00916,0916.HK,Utilities,5.57,184.81,9.187945,35.68,8.66,-8.79,-3.97,,,,6.03,49.68,21832566099.33,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00921,0921.HK,Consumer Cyclical,23.18,106.53,8.815148,15.65,27.48,5.86,30.46,,,,18.24,5.64,5796029180.51,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01157,1157.HK,Industrials,6.8,105.57,11.757567,36.27,10.67,7.77,28.2,,,,8.44,25.25,4873901652.93,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01171,1171.HK,Energy,12.31,501.69,11.081646,29.33,17.42,-13.63,-35.66,,,,8.97,29.48,19484794000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01193,1193.HK,Utilities,15.64,361.91,10.093553,33.11,23.38,1.19,-9.17,,,,8.03,17.7,6575111000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01299,1299.HK,Financial Services,72.55,7506.75,15.668144,21.27,92.15,nan,23.23,,,,14.42,4.25,6970000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01024,1024.HK,Communication Services,40.82,1766.28,8.816599,55.92,92.6,14.88,nan,,,,23.4,21.25,26716000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01044,1044.HK,Consumer Defensive,24.18,279.28,9.332801,19.29,29.96,0.66,9.61,,,,11.65,36.5,3241140000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01908,1908.HK,Real Estate,15.41,356.9,8.576871,19.7,19.19,11.14,-9.55,,,,8.67,21.92,21961699000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01910,1910.HK,Consumer Cyclical,13.94,190.14,9.079595,36.58,21.98,6.7,-2.59,,,,18.06,45.91,506300000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01913,1913.HK,Consumer Cyclical,42.2,1079.82,15.0437,18.85,52.0,10.82,22.35,,,,18.34,43.75,1654258000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01928,1928.HK,Consumer Cyclical,14.34,1160.54,16.507444,36.27,22.5,66.76,nan,,,,63.95,67.14,2105000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01929,1929.HK,Consumer Cyclical,12.31,1214.5,13.627507,27.37,16.95,-0.1,18.7,,,,29.07,31.06,1317000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02460,2460.HK,Consumer Defensive,7.635,183.09,16.734173,36.59,12.04,-4.48,-0.15,,,,9.18,0.28,1511086000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02507,2507.HK,Industrials,44.66,163.38,15.121063,41.62,76.5,14.85,16.39,,,,15.71,2.11,145997000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02518,2518.HK,Communication Services,44.96,210.09,16.614236,22.48,58.0,-2.4,-6.79,,,,6.83,0.15,889462000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02313,2313.HK,Consumer Cyclical,41.62,625.55,9.231787,42.99,73.0,3.71,8.48,,,,15.54,26.11,5549401000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02318,2318.HK,Financial Services,55.5,4133.41,6.621278,25.7,74.7,6.7,6.68,,,,13.47,10.35,658632000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02331,2331.HK,Consumer Cyclical,14.52,375.34,10.993396,38.0,23.42,4.68,-10.27,,,,10.63,5.45,4851532000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02333,2333.HK,Consumer Cyclical,8.375,193.21,6.80868,57.83,19.86,17.75,6.07,,,,11.22,22.26,17753789028.71,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02338,2338.HK,Consumer Cyclical,35.64,692.49,23.386533,21.57,45.44,9.79,30.62,,,,11.73,10.75,28681522296.05,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03668,3668.HK,Energy,31.42,414.74,18.173973,35.98,49.08,-18.33,-50.31,,,,4.87,0.69,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03808,3808.HK,Industrials,39.52,1091.14,13.321486,18.35,48.4,22.63,61.3,,,,15.6,3.58,7623014000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00135,0135.HK,Energy,6.925,598.18,9.64128,21.57,8.83,4.1,0.75,,,,7.89,14.86,12430000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00144,0144.HK,Industrials,14.9,625.5,9.687906,16.53,17.85,2.1,-6.71,,,,5.89,nan,9472000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00148,0148.HK,Industrials,45.84,514.32,11.543692,69.8,151.8,-2.78,6.39,,,,6.81,21.95,4738794000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00175,0175.HK,Consumer Cyclical,17.91,1931.59,10.93302,30.09,25.62,32.63,47.42,,,,18.24,15.05,47274244000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00177,0177.HK,Industrials,9.405,114.93,8.576481,16.4,11.25,15.24,7.25,,,,11.08,29.99,6761638748.35,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00179,0179.HK,Consumer Cyclical,20.62,192.59,12.171491,54.96,45.78,0.04,8.6,,,,7.12,8.94,471090000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00189,0189.HK,Basic Materials,13.03,225.77,11.431443,45.11,23.74,-10.51,-24.77,,,,11.42,0.14,3706493000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00220,0220.HK,Consumer Defensive,7.87,339.91,13.490935,19.86,9.82,3.92,18.82,,,,15.07,4.41,3284365000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00636,0636.HK,Industrials,5.795,104.72,7.429487,40.81,9.79,-11.88,-26.59,,,,7.99,26.33,2919112000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01776,1776.HK,Financial Services,17.14,329.26,7.566027,19.91,21.4,12.11,20.0,,,,8.78,26.19,-27780960722.97,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01787,1787.HK,Basic Materials,21.6,215.03,17.048145,60.33,54.45,27.51,56.03,,,,10.56,38.48,21492754843.56,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
