二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
108,ALRM,Technology,51.6,C-暂缓,7.0,20.947096,15.1,6.27,33.01,利润增长显著快于营收,59.53,6.27,33.01,39.16,4.51,-6.52,66.15,13.11,15.63,6.35,49.88,1.26,10.63,1.92,0.48,1.02,0.12,153330000.0
109,MGNI,Communication Services,51.3,C-暂缓,6.0,17.715238,31.33,7.35,nan,股数膨胀>2%,26.65,7.35,nan,7.04,10.06,,62.66,20.26,15.68,4.81,19.79,0.68,4.73,1.02,0.24,1.05,2.18,236168000.0
110,HST,,51.3,C-暂缓,0.0,16.708985,,7.61,6.52,无,,7.61,6.52,2.17,,,52.6,12.51,nan,,,,4.48,,,1.13,,1510000000.0
111,CSL,Industrials,51.1,C-暂缓,6.0,19.147891,24.81,-2.7,-7.11,ROE>40%,435.92,-2.7,-7.11,3.25,-1.18,-4.77,35.71,14.76,41.26,12.26,46.01,1.6,13.09,3.09,0.83,1.31,-6.96,1101800000.0
112,XP,Financial Services,51.0,C-暂缓,8.0,9.093418,25.21,10.28,13.04,应收增速>营收,23.13,10.28,13.04,88.31,29.34,,24.47,64.89,21.96,1.39,26.28,4.43,9.71,0.71,0.02,2.24,-1.43,12044826000.0
113,WYNN,Consumer Cyclical,50.8,C-暂缓,0.0,27.024581,29.95,23.86,nan,无,134.72,23.86,nan,nan,23.06,8.07,41.43,4.59,-118.82,2.51,92.89,-44.2,1.82,1.63,0.55,2.11,-2.84,1352653000.0
114,SUNB,Industrials,50.7,C-暂缓,0.0,22.996825,16.43,4.88,-6.44,无,86.68,4.88,-6.44,55.82,6.42,-0.24,38.46,11.88,17.88,5.99,46.91,1.41,5.65,0.9,0.5,1.2,-2.12,3784000000.0
115,BDC,Technology,50.4,C-暂缓,0.0,17.746154,34.03,1.37,-2.3,无,159.99,1.37,-2.3,8.05,1.69,5.61,37.98,8.75,18.78,6.91,39.57,1.11,6.76,1.93,0.79,0.92,-3.12,354864000.0
116,ATR,Healthcare,49.8,C-暂缓,0.0,22.068666,21.37,4.37,17.96,无,164.28,4.37,17.96,6.0,5.89,3.38,37.19,10.4,14.72,8.11,29.14,0.57,10.32,1.62,0.78,0.75,-0.51,569999000.0
117,CVCO,Consumer Cyclical,49.8,C-暂缓,0.0,23.771893,20.05,1.56,-7.47,无,713.01,1.56,-7.47,1.51,6.62,3.96,23.47,8.49,17.27,13.15,2.06,0.03,453.31,2.46,1.55,1.22,-3.7,267491000.0
118,MGY,Energy,49.7,C-暂缓,10.0,14.797688,21.86,-8.18,-28.61,经营现金流3Y为负,32.76,-8.18,-28.61,-12.17,-11.96,,47.29,24.79,16.77,11.36,14.17,0.21,20.31,1.54,0.46,1.26,-1.91,878639000.0
119,RGLD,Basic Materials,49.7,C-暂缓,22.0,23.653849,34.28,19.54,24.96,应收增速>营收；FCF/NI<70%；股数膨胀>2%,306.25,19.54,24.96,19.09,30.91,26.93,69.27,45.25,6.51,7.21,9.39,0.13,20.77,3.12,0.16,-0.99,8.81,704846000.0
120,BAH,Industrials,49.2,C-暂缓,13.0,9.584058,44.91,6.6,46.44,利润增长显著快于营收；ROE>40%,120.05,6.6,46.44,19.96,0.2,,52.71,7.59,77.01,11.79,57.91,3.73,5.14,1.78,1.55,1.12,-2.95,1041000000.0
121,OSK,Industrials,48.1,C-暂缓,7.0,16.489488,17.64,7.96,54.95,利润增长显著快于营收,180.49,7.96,54.95,9.22,7.81,8.38,17.45,6.21,14.28,6.64,10.93,0.24,8.16,1.94,1.07,0.88,-1.49,783400000.0
122,LW,Consumer Defensive,47.6,C-暂缓,8.0,22.465757,28.43,16.32,21.15,FCF/NI<70%,67.07,16.32,21.15,27.53,20.45,21.7,21.68,5.54,20.56,4.84,56.21,2.39,3.69,1.38,0.87,0.64,-1.13,868300000.0
123,OTIS,Industrials,45.9,C-暂缓,0.0,18.726064,25.54,1.79,3.37,无,94.56,1.79,3.37,0.76,4.51,-0.22,30.28,9.59,-25.67,12.6,79.89,-1.58,,0.85,1.31,1.04,-2.05,1596000000.0
124,CACI,Technology,45.8,C-暂缓,10.0,19.280658,31.61,11.63,10.87,经营现金流3Y为负,683.5,11.63,10.87,-9.81,11.11,9.13,8.86,5.79,12.84,6.47,38.57,0.86,4.81,1.47,1.12,0.96,-2.07,547009000.0
125,OSIS,Technology,45.8,C-暂缓,16.0,24.020219,32.7,13.13,9.06,应收增速>营收；FCF/NI<70%,311.72,13.13,9.06,15.22,39.59,6.84,34.27,8.73,15.73,7.16,28.99,0.68,6.92,2.04,0.82,0.37,-0.15,97592000.0
126,MAIN,Financial Services,45.5,C-暂缓,14.0,11.309672,20.85,22.98,26.87,FCF/NI<70%；股数膨胀>2%,67.77,22.98,26.87,nan,,,nan,83.37,16.48,9.13,43.25,0.82,,,0.11,-0.09,4.61,-45705000.0
127,WMS,Industrials,45.3,C-暂缓,0.0,26.075713,20.95,-0.23,-5.61,无,179.31,-0.23,-5.61,4.99,5.13,5.41,38.27,13.98,22.07,10.41,39.8,0.93,6.96,2.42,0.74,1.33,-0.75,819054000.0
128,AEO,Consumer Cyclical,45.2,C-暂缓,0.0,11.065478,37.39,3.59,15.33,无,28.46,3.59,15.33,3.94,2.18,6.26,36.51,3.46,11.34,4.9,42.41,1.0,22.93,1.51,1.42,1.02,-4.68,456182000.0
129,AMT,Real Estate,45.1,C-暂缓,6.0,26.790141,29.13,3.34,12.73,ROE>40%,234.33,3.34,12.73,13.92,-4.99,,74.18,23.76,69.25,4.07,71.16,12.31,3.24,0.4,0.17,1.5,0.05,5464000000.0
130,KMB,Consumer Defensive,45.1,C-暂缓,6.0,17.10729,20.79,-6.58,1.48,ROE>40%,137.46,-6.58,1.48,0.53,-6.12,-13.37,36.01,12.29,134.55,12.01,42.67,4.86,9.02,0.75,0.98,0.81,-0.56,2777000000.0
131,OTEX,Technology,44.5,C-暂缓,10.0,10.880449,44.34,13.94,3.15,经营现金流3Y为负,39.9,13.94,3.15,-5.42,15.63,,72.25,8.43,11.09,3.12,48.23,1.69,2.28,0.8,0.37,1.58,-1.4,830618000.0
132,YUMC,Consumer Cyclical,44.2,C-暂缓,7.0,16.715327,25.64,7.23,28.09,利润增长显著快于营收,58.39,7.23,28.09,1.23,14.07,1.65,17.28,7.87,17.27,8.48,21.72,0.44,,1.05,1.08,0.9,-5.45,1466000000.0
133,BANF,Financial Services,43.6,C-暂缓,8.0,15.803158,16.87,7.4,7.61,应收增速>营收,138.77,7.4,7.61,8.03,28.87,,nan,34.84,12.98,1.69,0.66,0.05,,,0.05,0.98,0.67,285278000.0
134,MRP,Real Estate,43.5,C-暂缓,0.0,10.259084,20.53,nan,nan,无,36.0,nan,nan,nan,,nan,85.39,63.26,6.49,5.16,22.81,0.36,5.36,1.96,0.08,9.67,0.0,3672821000.0
135,CLX,Consumer Defensive,43.1,C-暂缓,13.0,15.516892,27.45,-0.01,20.58,利润增长显著快于营收；ROE>40%,132.0,-0.01,20.58,7.67,5.73,-11.52,45.23,11.4,252.34,14.32,51.79,8.97,13.25,0.84,1.26,0.94,-0.12,981000000.0
136,SBAC,Real Estate,43.1,C-暂缓,7.0,18.718582,25.87,2.25,31.68,利润增长显著快于营收,240.14,2.25,31.68,0.15,-2.43,,75.46,37.43,-21.71,9.17,132.35,-3.16,3.61,0.29,0.24,1.01,-0.72,1291328000.0
137,KMT,Industrials,42.5,C-暂缓,0.0,19.506885,20.73,-0.76,-13.65,无,43.81,-0.76,-13.65,4.71,0.01,-1.94,30.41,4.73,7.25,3.69,25.28,0.5,6.29,2.46,0.78,1.28,-2.23,208324000.0
138,MHK,Consumer Cyclical,42.3,C-暂缓,7.0,16.5245,22.86,-2.78,144.85,利润增长显著快于营收,143.13,-2.78,144.85,16.43,1.43,-1.6,23.87,3.43,4.42,2.8,17.95,0.29,27.33,2.19,0.82,1.67,-1.08,1056200000.0
139,RDY,Healthcare,42.3,C-暂缓,18.0,20.75192,27.38,10.96,-1.67,经营现金流3Y为负；FCF/NI<70%,15.67,10.96,-1.67,-1.21,11.77,16.29,52.77,12.76,11.36,7.99,13.35,0.21,15.66,1.8,0.63,0.43,0.08,56755000000.0
140,VG,Energy,42.0,C-暂缓,16.0,16.462514,15.89,28.77,10.84,应收增速>营收；FCF/NI<70%,17.62,28.77,10.84,21.05,69.06,113.49,50.17,18.37,37.52,5.22,65.3,5.18,3.31,0.93,0.28,-2.69,0.51,6566000000.0
141,DDS,,42.0,C-暂缓,0.0,13.998665,,,,无,,,,,-11.32,2.35,nan,nan,nan,nan,15.91,0.31,,2.65,,nan,-3.04,
142,AMRZ,Basic Materials,41.7,C-暂缓,0.0,23.713917,24.84,3.28,2.26,无,65.94,3.28,2.26,3.56,3.77,8.09,25.68,10.03,8.94,4.93,26.16,0.48,4.62,1.64,0.49,1.2,0.02,2208000000.0
143,AZO,Consumer Cyclical,41.4,C-暂缓,10.0,20.413971,32.26,5.23,0.93,经营现金流3Y为负,4388.11,5.23,0.93,-0.98,9.9,7.61,52.62,13.19,-73.17,13.68,63.49,-3.6,7.44,0.88,1.04,0.72,-4.49,3117337000.0
144,ZBH,Healthcare,41.4,C-暂缓,7.0,22.974093,18.11,5.85,44.98,利润增长显著快于营收,108.29,5.85,44.98,9.72,7.25,2.12,69.71,8.57,5.55,3.17,32.56,0.59,3.84,1.98,0.37,2.01,-2.2,1697100000.0
145,EFSC,,41.2,C-暂缓,0.0,12.369115,,,,无,,,,,,,nan,nan,nan,nan,1.09,0.09,,,,nan,-0.26,
146,IBN,,40.4,C-暂缓,0.0,17.999572,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
147,SWKS,Technology,40.3,C-暂缓,10.0,26.256692,30.52,-9.34,-27.94,经营现金流3Y为负,90.9,-9.34,-27.94,-2.98,-18.23,-14.61,41.16,11.67,8.29,5.89,15.2,0.21,20.44,2.33,0.5,2.26,-2.45,1300800000.0
148,KALU,,40.3,C-暂缓,0.0,17.919302,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
149,SNX,,40.3,C-暂缓,0.0,18.107705,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
150,POOL,,40.3,C-暂缓,0.0,17.964138,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
151,TRNO,,40.3,C-暂缓,0.0,17.906844,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
152,ULTA,,40.3,C-暂缓,0.0,18.139925,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
153,OGS,,40.3,C-暂缓,0.0,17.939479,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
154,OLED,,40.3,C-暂缓,0.0,18.158151,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
155,FNF,,40.3,C-暂缓,0.0,17.869233,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
156,ENVA,,40.3,C-暂缓,0.0,18.10551,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
157,LPLA,Financial Services,40.2,C-暂缓,8.0,29.203485,18.88,25.47,0.68,FCF/NI<70%,403.58,25.47,0.68,nan,12.26,,23.67,5.08,16.15,5.43,40.35,1.4,3.85,2.3,1.07,-1.14,0.34,-411404000.0
158,TGT,,40.2,C-暂缓,0.0,18.221277,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
159,DPZ,,40.2,C-暂缓,0.0,17.741424,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
160,EAT,,40.2,C-暂缓,0.0,18.236112,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
161,PATH,,40.2,C-暂缓,0.0,17.693642,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
162,PEP,,40.2,C-暂缓,0.0,17.776178,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
163,PLMR,,40.2,C-暂缓,0.0,18.193863,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
164,GILD,,40.2,C-暂缓,0.0,17.726761,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
165,HTHT,,40.2,C-暂缓,0.0,17.700206,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
166,IBM,,40.2,C-暂缓,0.0,18.192757,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
167,ONDS,,40.2,C-暂缓,0.0,18.287303,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
168,EXEL,,40.2,C-暂缓,0.0,18.1882,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
169,BF.A,,40.1,C-暂缓,0.0,17.581699,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
170,BXSL,Financial Services,40.1,C-暂缓,14.0,12.208967,29.17,16.28,11.68,FCF/NI<70%；股数膨胀>2%,32.81,16.28,11.68,nan,,,nan,92.69,9.02,4.01,55.13,1.29,,,0.04,-0.81,13.09,-458657000.0
171,TGTX,,40.1,C-暂缓,0.0,18.35042,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
172,PEG,,40.1,C-暂缓,0.0,17.606362,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
173,GMED,,40.1,C-暂缓,0.0,17.602641,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
174,IWN,,40.1,C-暂缓,0.0,18.404854,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
175,MS,,40.1,C-暂缓,0.0,17.656339,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
176,VBK,,40.1,C-暂缓,0.0,17.610112,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
177,TTEK,,40.1,C-暂缓,0.0,18.44858,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
178,EDU,,40.1,C-暂缓,0.0,18.371212,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
179,EQNR,,40.1,C-暂缓,0.0,18.380341,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
180,AGCO,Industrials,40.0,C-暂缓,0.0,11.25398,18.43,-7.29,-6.53,无,143.78,-7.29,-6.53,5.64,-4.03,-5.3,25.46,7.21,17.0,6.29,21.49,0.6,5.89,1.39,0.87,1.02,-0.89,988100000.0
181,TOWN,,40.0,C-暂缓,0.0,17.445511,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
182,PBI,,40.0,C-暂缓,0.0,17.507902,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
183,EHC,,40.0,C-暂缓,0.0,18.54571,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
184,FFIN,,40.0,C-暂缓,0.0,18.460143,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
185,JLL,,40.0,C-暂缓,0.0,17.413447,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
186,PLUS,,40.0,C-暂缓,0.0,17.417495,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
187,VIV,,40.0,C-暂缓,0.0,18.569513,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
188,WEX,,40.0,C-暂缓,0.0,17.450499,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
189,TXT,,40.0,C-暂缓,0.0,17.523308,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
190,MT,,40.0,C-暂缓,0.0,17.405759,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
191,HE,,40.0,C-暂缓,0.0,18.496808,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
192,FCN,,40.0,C-暂缓,0.0,18.5299,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
193,BF.B,,39.9,C-暂缓,0.0,17.261438,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
194,BJ,Consumer Defensive,39.9,C-暂缓,8.0,21.124155,17.17,3.57,4.07,FCF/NI<70%,110.92,3.57,4.07,9.33,1.78,4.11,18.64,2.7,26.32,7.94,36.3,1.24,19.67,0.75,2.94,0.57,-1.07,1030056000.0
195,DRI,,39.9,C-暂缓,0.0,18.68435,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
196,PAA,,39.9,C-暂缓,0.0,18.664122,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
197,GNW,,39.9,C-暂缓,0.0,18.690436,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
198,NWN,,39.9,C-暂缓,0.0,17.324244,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
199,STWD,,39.9,C-暂缓,0.0,17.371817,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
200,UBER,,39.9,C-暂缓,0.0,17.384516,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
201,NTRS,,39.9,C-暂缓,0.0,18.707853,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
202,OMAB,,39.9,C-暂缓,0.0,17.329589,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
203,GTX,,39.9,C-暂缓,0.0,18.645507,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
204,HAL,,39.9,C-暂缓,0.0,17.293194,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
205,ELV,,39.9,C-暂缓,0.0,17.313742,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
206,FDX,,39.9,C-暂缓,0.0,17.307417,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
207,PRK,,39.8,C-暂缓,0.0,17.123059,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
208,IWS,,39.8,C-暂缓,0.0,17.216175,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
209,MWA,,39.8,C-暂缓,0.0,18.855975,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
210,SMFG,,39.8,C-暂缓,0.0,17.225892,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
211,VC,,39.8,C-暂缓,0.0,17.229817,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
212,WFRD,,39.8,C-暂缓,0.0,17.177313,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
213,UBS,,39.8,C-暂缓,0.0,18.882534,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
214,ED,,39.8,C-暂缓,0.0,18.79966,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
215,EVR,,39.8,C-暂缓,0.0,18.872204,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
216,HPT,,39.7,C-暂缓,0.0,17.102853,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
217,BK,,39.7,C-暂缓,0.0,17.015968,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
218,MFG,,39.7,C-暂缓,0.0,17.045455,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
219,SLGN,,39.7,C-暂缓,0.0,17.064092,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
220,PFE,,39.7,C-暂缓,0.0,18.908344,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
221,DG,,39.7,C-暂缓,0.0,17.005097,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
222,GS,,39.7,C-暂缓,0.0,16.991412,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
223,HSBC,,39.7,C-暂缓,0.0,17.075023,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
224,HTLF,,39.7,C-暂缓,0.0,17.063329,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
225,UFPI,,39.7,C-暂缓,0.0,18.936308,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
226,GDS,,39.7,C-暂缓,0.0,17.066877,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
227,ESTC,,39.7,C-暂缓,0.0,17.107877,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
228,ET,,39.7,C-暂缓,0.0,17.017274,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
229,EWT,,39.7,C-暂缓,0.0,17.085555,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
230,EXC,,39.7,C-暂缓,0.0,17.106227,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
231,EXLS,,39.7,C-暂缓,0.0,17.104424,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
232,SEIC,,39.6,C-暂缓,0.0,16.83172,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
233,PBF,,39.6,C-暂缓,0.0,16.886487,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
234,GHC,,39.6,C-暂缓,0.0,16.95237,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
235,SOBO,,39.6,C-暂缓,0.0,19.043112,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
236,UNM,,39.6,C-暂缓,0.0,19.041286,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
237,ELPC,,39.6,C-暂缓,0.0,16.954914,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
238,EPR,,39.6,C-暂缓,0.0,19.146131,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
239,LOW,Consumer Cyclical,39.5,C-暂缓,8.0,17.244726,30.27,-3.85,1.11,应收增速>营收,293.06,-3.85,1.11,4.72,1059.57,-2.27,33.48,7.71,-67.1,13.68,82.52,-4.51,6.73,1.08,1.77,1.15,-2.27,9864000000.0
240,FUL,,39.5,C-暂缓,0.0,16.682563,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
241,PIPR,,39.5,C-暂缓,0.0,19.281922,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
242,PPG,,39.5,C-暂缓,0.0,16.740465,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
243,QCOM,,39.5,C-暂缓,0.0,19.188158,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
244,VO,,39.5,C-暂缓,0.0,16.803867,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
245,GBDC,,39.5,C-暂缓,0.0,16.688312,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
246,ERIE,,39.5,C-暂缓,0.0,19.308233,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
247,ALGN,Healthcare,39.4,C-暂缓,0.0,28.975217,17.21,2.61,4.31,无,208.31,2.61,4.31,1.42,8.62,-12.58,67.19,10.17,10.13,6.59,1.84,0.03,,1.36,0.65,1.2,-2.61,593223000.0
248,TFPM,,39.4,C-暂缓,0.0,19.350993,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
249,LTC,,39.4,C-暂缓,0.0,16.63961,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
250,GATX,,39.4,C-暂缓,0.0,19.348859,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
251,SYBT,,39.3,C-暂缓,0.0,16.524766,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
252,TD,,39.3,C-暂缓,0.0,19.503959,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
253,DIA,,39.3,C-暂缓,0.0,16.453583,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
254,DLB,,39.3,C-暂缓,0.0,19.526158,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
255,PLNT,,39.3,C-暂缓,0.0,19.487281,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
256,DEO,,39.3,C-暂缓,0.0,19.476218,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
257,NGG,,39.3,C-暂缓,0.0,19.483179,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
258,NWBI,,39.3,C-暂缓,0.0,16.414247,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
259,OLLI,,39.3,C-暂缓,0.0,16.44388,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
260,OPCH,,39.3,C-暂缓,0.0,16.50008,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
261,HAYW,,39.3,C-暂缓,0.0,19.486686,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
262,MLI,,39.2,C-暂缓,0.0,16.323558,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
263,DUK,,39.2,C-暂缓,0.0,19.619476,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
264,PAYC,,39.2,C-暂缓,0.0,16.273676,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
265,IWM,,39.2,C-暂缓,0.0,16.31495,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
266,IXC,,39.2,C-暂缓,0.0,19.633716,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
267,SNEX,,39.2,C-暂缓,0.0,19.652312,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
268,STT,,39.2,C-暂缓,0.0,16.347495,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
269,OKE,,39.2,C-暂缓,0.0,16.38177,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
270,GEN,,39.2,C-暂缓,0.0,16.292994,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
271,SWCH,,39.1,C-暂缓,0.0,19.770375,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
272,OVV,,39.1,C-暂缓,0.0,19.904605,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
273,IX,,39.1,C-暂缓,0.0,16.139505,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
274,PRIM,,39.1,C-暂缓,0.0,19.764159,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
275,TTD,,39.1,C-暂缓,0.0,19.817271,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
276,FRSH,,39.1,C-暂缓,0.0,16.104039,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
277,HLN,,39.1,C-暂缓,0.0,19.779871,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
278,FDS,,39.1,C-暂缓,0.0,16.144619,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
279,PNW,,39.0,C-暂缓,0.0,19.990157,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
280,GME,,39.0,C-暂缓,0.0,16.088043,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
281,NCLH,,39.0,C-暂缓,0.0,16.06632,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
282,SLYG,,39.0,C-暂缓,0.0,15.953553,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
283,SMCI,,39.0,C-暂缓,0.0,16.084211,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
284,AFFT,,38.9,C-暂缓,0.0,15.867816,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
285,TMDX,,38.9,C-暂缓,0.0,15.945038,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
286,GEO,,38.9,C-暂缓,0.0,15.81741,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
287,HAS,,38.9,C-暂缓,0.0,15.843416,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
288,EMN,,38.9,C-暂缓,0.0,20.08596,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
289,ES,,38.9,C-暂缓,0.0,15.91197,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
290,AFFS,,38.8,C-暂缓,0.0,15.66307,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
291,THO,,38.8,C-暂缓,0.0,15.708502,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
