代码,简称,行业,池内档位,质量分,5Y ROE均值_%,5Y ROE最低_%,营收5年CAGR_%,净利润3年CAGR_%,毛利率均值_%,净利率均值_%,FCF转化率,FCF正年数占比_%,OCF负年数,资产负债率_%,流通市值_亿美元,管理层红旗,覆盖,量化警示,review_status,reviewed_date
ROST.US,"Ross Stores, Inc.",Consumer Cyclical,Ⅰ候选,77.4,36.6,34.7,6.76,12.36,27.1,9.2,0.86,100.0,0,33.5,724.2,RunB核,全新,无,pending,
KEYS.US,"Keysight Technologies, Inc.",Technology,Ⅰ候选,77.4,19.1,12.0,-0.28,-8.89,63.3,17.1,1.24,100.0,0,24.6,555.1,RunB核,全新,无,pending,
AMAT.US,"Applied Materials, Inc.",Technology,Ⅰ候选,77.3,41.9,34.3,3.23,2.36,47.3,25.6,0.92,100.0,0,19.4,3605.6,RunB核,全新,ROE均值>40%,pending,
REGN.US,"Regeneron Pharmaceuticals, Inc.",Healthcare,Ⅰ候选,76.9,16.0,14.4,5.62,1.26,86.2,32.1,0.84,100.0,0,6.7,818.5,RunB核,全新,无,pending,
PDD.US,PDD Holdings Inc.,Consumer Cyclical,Ⅰ候选,76.9,29.6,23.7,49.0,45.85,64.0,24.9,1.31,100.0,0,0.9,628.1,RunB核,全新,应收增速>营收；股本膨胀>2%,pending,
PH.US,Parker-Hannifin Corporation,Industrials,Ⅰ候选,76.8,23.3,20.2,4.09,20.54,36.0,15.0,1.08,100.0,0,27.6,1214.7,RunB核,全新,无,pending,
A.US,"Agilent Technologies, Inc.",Healthcare,Ⅰ候选,76.6,21.5,19.3,0.48,1.29,52.9,18.8,0.99,100.0,0,26.4,424.9,RunB核,全新,无,pending,
COST.US,Costco Wholesale Corporation,Consumer Defensive,Ⅰ候选,76.4,28.1,25.1,6.64,11.49,12.5,2.8,0.88,100.0,0,10.6,4050.0,RunB核,全新,无,pending,
CMI.US,Cummins Inc.,Industrials,Ⅰ候选,76.2,23.4,8.3,6.25,9.74,24.5,7.5,1.29,100.0,0,23.9,768.3,RunB核,全新,无,pending,
SYK.US,Stryker Corporation,Healthcare,Ⅰ候选,76.2,15.0,14.2,10.83,11.24,63.6,13.6,1.08,100.0,0,33.1,1071.0,RunB核,全新,无,pending,
HWM.US,Howmet Aerospace Inc.,Industrials,Ⅰ候选,76.2,21.4,13.0,13.37,47.6,30.2,13.4,0.96,100.0,0,28.7,1026.8,RunB核,全新,利润增速显著快于营收,pending,
EOG.US,"EOG Resources, Inc.",Energy,Ⅰ候选,76.0,24.2,16.7,-8.51,-13.74,70.4,27.1,0.76,100.0,0,16.2,759.3,RunB核,全新,无,pending,
TEL.US,TE Connectivity plc,Technology,Ⅰ候选,75.3,19.9,14.6,1.97,-8.8,33.3,14.4,1.14,100.0,0,23.2,605.0,RunB核,全新,无,pending,
PSA.US,Public Storage,Real Estate,Ⅰ候选,75.1,26.3,19.3,4.88,-25.69,73.9,58.2,1.21,100.0,0,50.7,555.9,RunB核,全新,无,pending,
MELI.US,"MercadoLibre, Inc.",Consumer Cyclical,Ⅰ候选,75.0,33.0,26.4,38.91,60.61,47.3,6.8,4.73,100.0,0,26.7,999.9,RunB核,全新,利润增速显著快于营收,pending,
HEI.US,HEICO Corporation,Industrials,Ⅰ候选,74.5,14.1,12.8,26.64,25.21,39.2,14.6,1.17,100.0,0,25.8,403.6,RunB核,全新,无,pending,
AME.US,"AMETEK, Inc.",Industrials,Ⅰ候选,74.3,14.7,13.9,6.36,8.48,35.7,19.6,1.11,100.0,0,14.6,544.3,RunB核,全新,无,pending,
CARR.US,Carrier Global Corporation,Industrials,Ⅰ候选,74.1,27.9,10.8,7.95,-25.12,26.1,14.8,0.86,100.0,0,32.9,468.4,RunB核,全新,无,pending,
ARM.US,Arm Holdings plc,Technology,Ⅰ候选,73.9,10.3,5.8,22.46,19.93,96.5,16.8,1.39,100.0,0,4.3,360.5,RunB核,公司页,无,pending,
ADP.US,"Automatic Data Processing, Inc.",Technology,Ⅰ候选,73.0,79.7,65.9,6.81,8.96,45.7,19.6,1.05,100.0,0,8.3,1097.8,RunB核,全新,ROE均值>40%,pending,
DHI.US,"D.R. Horton, Inc.",Consumer Cyclical,Ⅰ候选,73.0,21.2,14.8,0.76,-15.09,26.8,13.6,0.57,100.0,0,17.0,357.2,RunB核,全新,无,pending,
CMG.US,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Ⅰ候选,72.9,43.6,38.0,11.36,19.54,25.5,12.3,0.97,100.0,0,56.4,465.0,RunB核,全新,ROE均值>40%,pending,
EA.US,Electronic Arts Inc,Communication Services,Ⅰ候选,72.9,14.7,11.0,0.47,3.41,77.9,13.6,1.9,100.0,0,11.8,448.8,RunB核,全新,无,pending,
GWW.US,"W.W. Grainger, Inc.",Industrials,Ⅰ候选,72.5,56.2,45.7,5.62,3.31,39.1,10.5,0.79,100.0,0,31.9,586.3,RunB核,全新,ROE均值>40%,pending,
NTAP.US,"NetApp, Inc.",Technology,Ⅰ候选,71.9,101.1,86.0,2.87,0.05,69.5,18.1,1.21,100.0,0,25.4,361.9,RunB核,全新,ROE均值>40%,pending,
MSI.US,"Motorola Solutions, Inc.",Technology,Ⅰ候选,71.9,398.3,89.4,8.63,16.48,49.7,16.3,1.19,100.0,0,50.4,775.4,RunB核,全新,ROE均值>40%,pending,
TJX.US,"The TJX Companies, Inc.",Consumer Cyclical,Ⅰ候选,71.8,57.0,53.9,6.53,16.24,29.8,8.2,0.87,100.0,0,37.7,1448.4,RunB核,全新,ROE均值>40%,pending,
FERG.US,Ferguson Enterprises Inc.,Industrials,Ⅰ候选,71.8,36.4,30.9,2.5,-4.37,30.6,6.4,0.84,100.0,0,33.7,440.7,RunB核,全新,无,pending,
ABT.US,Abbott Laboratories,Healthcare,Ⅰ候选,71.5,18.6,12.5,0.51,-2.01,55.8,19.2,0.9,100.0,0,16.0,1843.8,RunB核,全新,无,pending,
NOW.US,"ServiceNow, Inc.",Technology,Ⅰ候选,71.5,14.4,6.5,22.38,75.21,78.4,12.5,3.3,100.0,0,9.2,1454.0,RunB核,公司页,利润增速显著快于营收,pending,
RIO.US,Rio Tinto Group,Basic Materials,Ⅰ候选,71.5,20.0,16.0,1.24,-7.0,58.9,19.9,0.63,100.0,0,18.4,1479.9,RunB核,全新,无,pending,
SLB.US,SLB N.V.,Energy,Ⅰ候选,71.5,18.6,12.9,8.33,-0.65,19.2,11.7,1.0,100.0,0,21.2,853.4,RunB核,全新,无,pending,
GE.US,GE Aerospace,Industrials,Ⅰ候选,71.5,29.0,1.0,16.32,195.89,28.8,16.0,4.37,100.0,0,15.7,3488.5,RunB核,全新,利润增速显著快于营收,pending,
URI.US,"United Rentals, Inc.",Industrials,Ⅰ候选,71.1,29.3,27.8,11.41,5.82,40.4,16.8,0.26,100.0,0,52.5,625.2,RunB核,全新,无,pending,
RELX.US,RELX PLC,Industrials,Ⅰ候选,70.9,59.4,43.3,3.89,8.12,65.2,20.1,1.13,100.0,0,49.2,612.9,RunB核,全新,ROE均值>40%,pending,
ROK.US,"Rockwell Automation, Inc.",Industrials,Ⅰ候选,70.9,31.0,23.8,2.44,-2.31,45.9,12.3,0.96,100.0,0,32.5,482.7,RunB核,全新,无,pending,
NOC.US,Northrop Grumman Corporation,Industrials,Ⅰ候选,70.3,24.6,13.9,4.65,-5.12,19.3,9.7,0.68,100.0,0,33.1,729.8,RunB核,公司页,无,pending,
GD.US,General Dynamics Corporation,Industrials,Ⅰ候选,70.2,16.8,15.6,10.07,7.49,15.8,8.1,0.99,100.0,0,17.1,912.9,RunB核,公司页,无,pending,
PM.US,Philip Morris International Inc.,Consumer Defensive,Ⅰ候选,70.0,,,8.57,7.84,64.8,24.3,1.14,100.0,0,70.6,2833.8,RunB核,全新,无,pending,
ECL.US,Ecolab Inc.,Basic Materials,Ⅰ候选,70.0,19.4,15.1,4.26,23.88,41.5,10.7,0.99,100.0,0,36.4,782.0,RunB核,全新,无,pending,
WAT.US,Waters Corporation,Healthcare,Ⅱ候选,69.7,64.0,25.1,2.12,-3.17,59.1,21.9,0.78,100.0,0,29.4,401.6,RunB核,全新,ROE均值>40%,pending,
PAYX.US,"Paychex, Inc.",Technology,Ⅱ候选,69.6,44.1,40.1,9.15,4.16,72.4,30.0,1.1,100.0,0,28.5,388.2,RunB核,全新,ROE均值>40%；应收增速>营收,pending,
TER.US,"Teradyne, Inc.",Technology,Ⅱ候选,69.3,21.5,17.8,0.37,-8.17,58.3,19.0,0.8,100.0,0,6.8,557.0,RunB核,全新,应收增速>营收,pending,
FIX.US,"Comfort Systems USA, Inc.",Industrials,Ⅱ候选,69.3,30.6,24.6,30.03,60.8,20.5,7.7,1.28,100.0,0,7.5,558.8,RunB核,全新,最新年增速异常；利润增速显著快于营收,pending,
JNJ.US,Johnson & Johnson,Healthcare,Ⅱ候选,69.2,31.8,19.7,5.6,14.32,68.8,27.0,0.87,100.0,0,24.1,6618.1,RunB核,全新,最新年增速异常,pending,
CSCO.US,"Cisco Systems, Inc.",Technology,Ⅱ候选,69.0,24.8,21.7,3.57,1.7,64.2,20.1,1.19,100.0,0,22.8,4303.3,RunB核,全新,OCF3Y萎缩>5%,pending,
WMT.US,Walmart Inc.,Consumer Defensive,Ⅱ候选,68.9,19.3,15.2,5.27,23.3,24.6,2.6,0.83,100.0,0,23.6,4687.5,RunB核,全新,无,pending,
COR.US,"Cencora, Inc.",Healthcare,Ⅱ候选,68.4,223.7,103.1,10.43,-2.92,3.5,0.6,1.83,100.0,0,10.0,604.5,RunB核,全新,ROE均值>40%,pending,
MRK.US,"Merck & Co., Inc.",Healthcare,Ⅱ候选,68.4,26.0,1.0,3.12,7.93,73.7,20.0,6.95,100.0,0,36.0,3708.9,RunB核,全新,无,pending,
HAL.US,Halliburton Company,Energy,Ⅱ候选,67.9,21.0,12.3,3.01,-6.55,17.4,9.0,0.96,100.0,0,32.5,306.9,RunB核,全新,无,pending,
MAR.US,"Marriott International, Inc.",Consumer Cyclical,Ⅱ候选,67.6,415.1,415.1,8.02,3.32,20.7,10.9,0.9,100.0,0,62.0,757.1,RunB核,全新,ROE均值>40%,pending,
KLAC.US,KLA Corporation,Technology,Ⅱ候选,67.3,90.2,76.1,8.96,12.56,60.5,32.4,0.95,100.0,0,34.3,2424.4,RunB核,全新,ROE均值>40%；应收增速>营收,pending,
RSG.US,"Republic Services, Inc.",Industrials,Ⅱ候选,67.1,16.9,15.4,7.08,12.86,40.8,12.1,1.11,100.0,0,40.2,679.3,RunB核,全新,无,pending,
WM.US,"Waste Management, Inc.",Industrials,Ⅱ候选,66.7,31.6,27.1,8.56,6.56,38.9,11.5,0.87,100.0,0,50.0,873.6,RunB核,全新,无,pending,
UNH.US,UnitedHealth Group Incorporated,Healthcare,Ⅱ候选,66.7,19.9,12.8,11.35,-15.69,22.5,4.6,1.27,100.0,0,25.3,3537.8,RunB核,公司页,OCF3Y萎缩>5%,pending,
WMB.US,"The Williams Companies, Inc.",Energy,Ⅱ候选,66.2,20.5,17.8,2.91,8.51,58.3,22.7,0.93,100.0,0,50.2,900.3,RunB核,全新,无,pending,
TDG.US,TransDigm Group Incorporated,Industrials,Ⅱ候选,65.8,,,17.61,33.79,58.6,20.2,0.97,100.0,0,131.1,634.9,RunB核,公司页,无,pending,
CNI.US,Canadian National Railway Company,Industrials,Ⅱ候选,65.7,23.7,21.1,0.38,-2.66,42.2,29.2,0.72,100.0,0,36.9,747.1,RunB核,全新,无,pending,
ITW.US,Illinois Tool Works Inc.,Industrials,Ⅱ候选,65.6,99.2,95.1,0.23,0.35,42.8,19.6,0.84,100.0,0,57.0,696.9,RunB核,全新,ROE均值>40%,pending,
DEO.US,Diageo plc,Consumer Defensive,Ⅱ候选,65.4,30.2,16.0,-1.5,-26.89,59.9,15.3,1.04,100.0,0,47.4,494.1,RunB核,全新,无,pending,
MO.US,"Altria Group, Inc.",Consumer Defensive,Ⅱ候选,64.8,,,-0.89,6.42,70.3,39.3,1.15,100.0,0,73.4,1150.2,RunB核,全新,无,pending,
MCK.US,McKesson Corporation,Healthcare,Ⅱ候选,64.5,,,13.39,10.18,4.0,1.1,1.31,100.0,0,10.5,1063.1,RunB核,全新,无,pending,
FTI.US,TechnipFMC plc,Energy,Ⅱ候选,64.5,13.6,-3.3,14.02,,,4.5,3.54,100.0,0,13.3,308.2,RunB核,全新,无,pending,
CNQ.US,Canadian Natural Resources Limited,Energy,Ⅱ候选,64.1,22.3,15.5,-3.75,-0.36,27.3,20.4,1.07,100.0,0,18.1,1016.8,RunB核,全新,OCF3Y萎缩>5%,pending,
GEHC.US,GE HealthCare Technologies Inc.,Healthcare,Ⅱ候选,64.0,21.5,20.1,3.99,2.84,40.3,9.7,0.88,100.0,0,28.4,311.0,RunB核,全新,无,pending,
COP.US,ConocoPhillips,Energy,Ⅱ候选,63.8,22.0,12.4,-9.11,-24.66,31.4,18.4,0.89,100.0,0,19.2,1609.8,RunB核,全新,OCF3Y萎缩>5%,pending,
HON.US,Honeywell International Inc.,Industrials,Ⅱ候选,63.7,32.5,29.7,1.82,-1.62,37.5,15.1,0.95,100.0,0,48.3,628.8,RunB核,全新,无,pending,
YUM.US,"Yum! Brands, Inc.",Consumer Cyclical,Ⅱ候选,63.2,,,6.28,5.57,47.8,20.1,0.93,100.0,0,160.9,411.4,RunB核,全新,无,pending,
PLD.US,"Prologis, Inc.",Real Estate,Ⅱ候选,62.9,6.3,5.8,13.74,-0.36,74.8,44.5,1.45,100.0,0,36.1,1305.2,RunB核,全新,无,pending,
AMT.US,American Tower Corporation,Real Estate,Ⅱ候选,62.8,50.7,31.7,3.34,12.73,74.1,19.8,1.54,100.0,0,71.2,821.1,RunB核,全新,ROE均值>40%,pending,
CRH.US,CRH plc,Basic Materials,Ⅱ候选,62.8,16.0,15.1,4.6,-1.15,34.8,10.1,0.77,100.0,0,33.8,626.1,RunB核,全新,无,pending,
KR.US,The Kroger Co.,Consumer Defensive,Ⅱ候选,62.8,22.6,17.1,-0.14,-23.21,22.4,1.4,1.51,100.0,0,49.4,357.4,RunB核,全新,无,pending,
WDAY.US,"Workday, Inc.",Technology,Ⅱ候选,62.6,6.3,-6.6,15.4,,74.8,6.7,3.18,100.0,0,21.1,379.8,RunB核,全新,无,pending,
TXN.US,Texas Instruments Incorporated,Technology,Ⅱ候选,62.5,39.4,28.4,-4.07,-17.01,61.7,35.0,0.43,100.0,0,40.6,2356.4,RunB核,全新,OCF3Y萎缩>5%,pending,
NSC.US,Norfolk Southern Corporation,Industrials,Ⅱ候选,62.4,19.2,14.3,-1.5,-4.22,37.9,21.5,0.64,100.0,0,38.3,738.0,RunB核,全新,无,pending,
BIIB.US,Biogen Inc.,Healthcare,Ⅱ候选,62.4,11.9,7.1,-0.94,-24.85,75.9,17.9,1.13,100.0,0,22.3,325.3,RunB核,全新,无,pending,
SHW.US,The Sherwin-Williams Company,Basic Materials,Ⅱ候选,62.1,62.9,55.9,2.1,8.34,46.5,10.5,0.89,100.0,0,50.0,754.2,RunB核,全新,ROE均值>40%,pending,
HLT.US,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Ⅱ候选,61.8,,,11.13,5.1,28.7,12.8,1.32,100.0,0,78.1,686.9,RunB核,全新,无,pending,
CLS.US,Celestica Inc.,Technology,Ⅱ候选,61.1,21.2,10.7,19.56,66.58,10.3,4.2,0.66,100.0,0,10.8,384.2,RunB核,全新,最新年增速异常；利润增速显著快于营收,pending,
MLM.US,"Martin Marietta Materials, Inc.",Basic Materials,Ⅱ候选,61.1,14.8,11.3,-0.06,9.46,28.1,21.9,0.63,100.0,0,30.5,306.8,RunB核,全新,无,pending,
SU.US,Suncor Energy Inc.,Energy,Ⅱ候选,60.8,17.2,13.1,-5.92,-13.29,41.7,13.1,1.17,100.0,0,16.1,787.5,RunB核,全新,OCF3Y萎缩>5%,pending,
IQV.US,IQVIA Holdings Inc.,Healthcare,Ⅱ候选,60.7,21.2,18.9,4.21,7.62,34.5,8.5,1.4,100.0,0,53.3,404.3,RunB核,全新,无,pending,
KMB.US,Kimberly-Clark Corporation,Consumer Defensive,Ⅱ候选,60.5,246.0,134.6,-6.58,1.48,35.2,11.8,1.08,100.0,0,42.7,346.9,RunB核,全新,ROE均值>40%,pending,
SNY.US,Sanofi,Healthcare,Ⅱ候选,60.2,9.2,7.2,4.82,-2.27,70.7,15.7,1.09,100.0,0,16.0,955.6,RunB核,全新,无,pending,
PEP.US,"PepsiCo, Inc.",Consumer Defensive,Ⅱ候选,60.0,48.6,40.4,2.83,-2.57,54.0,9.9,0.8,100.0,0,46.5,1879.2,RunB核,全新,ROE均值>40%,pending,
